gvkey,splticrm,spsticrm,datadate,ggroup,gind,gsector,gsubind,naics,sic,spcindcd,spcseccd,conm,tic,cusip
001045,D,,31/08/2013,2030,203020,20,20302010,481111,4512,605,600,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,D,,30/09/2013,2030,203020,20,20302010,481111,4512,605,600,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,D,,31/10/2013,2030,203020,20,20302010,481111,4512,605,600,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,D,,30/11/2013,2030,203020,20,20302010,481111,4512,605,600,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B,,31/12/2013,2030,203020,20,20302010,481111,4512,605,600,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B,,31/01/2014,2030,203020,20,20302010,481111,4512,605,600,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B,,28/02/2014,2030,203020,20,20302010,481111,4512,605,600,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B,,31/03/2014,2030,203020,20,20302010,481111,4512,605,600,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B,,30/04/2014,2030,203020,20,20302010,481111,4512,605,600,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B,,31/05/2014,2030,203020,20,20302010,481111,4512,605,600,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B,,30/06/2014,2030,203020,20,20302010,481111,4512,605,600,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B,,31/07/2014,2030,203020,20,20302010,481111,4512,605,600,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B,,31/08/2014,2030,203020,20,20302010,481111,4512,605,600,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B,,30/09/2014,2030,203020,20,20302010,481111,4512,605,600,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B,,31/10/2014,2030,203020,20,20302010,481111,4512,605,600,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B+,,30/11/2014,2030,203020,20,20302010,481111,4512,605,600,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B+,,31/12/2014,2030,203020,20,20302010,481111,4512,605,600,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B+,,31/01/2015,2030,203020,20,20302010,481111,4512,605,600,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B+,,28/02/2015,2030,203020,20,20302010,481111,4512,605,600,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B+,,31/03/2015,2030,203020,20,20302010,481111,4512,605,600,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B+,,30/04/2015,2030,203020,20,20302010,481111,4512,605,600,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B+,,31/05/2015,2030,203020,20,20302010,481111,4512,605,600,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,BB-,,30/06/2015,2030,203020,20,20302010,481111,4512,605,600,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,BB-,,31/07/2015,2030,203020,20,20302010,481111,4512,605,600,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,BB-,,31/08/2015,2030,203020,20,20302010,481111,4512,605,600,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,BB-,,30/09/2015,2030,203020,20,20302010,481111,4512,605,600,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,BB-,,31/10/2015,2030,203020,20,20302010,481111,4512,605,600,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,BB-,,30/11/2015,2030,203020,20,20302010,481111,4512,605,600,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,BB-,,31/12/2015,2030,203020,20,20302010,481111,4512,605,600,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,BB-,,31/01/2016,2030,203020,20,20302010,481111,4512,605,600,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,BB-,,29/02/2016,2030,203020,20,20302010,481111,4512,605,600,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,BB-,,31/03/2016,2030,203020,20,20302010,481111,4512,605,600,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,BB-,,30/04/2016,2030,203020,20,20302010,481111,4512,605,600,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,BB-,,31/05/2016,2030,203020,20,20302010,481111,4512,605,600,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,BB-,,30/06/2016,2030,203020,20,20302010,481111,4512,605,600,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,BB-,,31/07/2016,2030,203020,20,20302010,481111,4512,605,600,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,BB-,,31/08/2016,2030,203020,20,20302010,481111,4512,605,600,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,BB-,,30/09/2016,2030,203020,20,20302010,481111,4512,605,600,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,BB-,,31/10/2016,2030,203020,20,20302010,481111,4512,605,600,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,BB-,,30/11/2016,2030,203020,20,20302010,481111,4512,605,600,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,BB-,,31/12/2016,2030,203020,20,20302010,481111,4512,605,600,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,BB-,,31/01/2017,2030,203020,20,20302010,481111,4512,605,600,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001075,BBB-,A-3,31/01/2010,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,BBB-,A-3,28/02/2010,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,BBB-,A-3,31/03/2010,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,BBB-,A-3,30/04/2010,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,BBB-,A-3,31/05/2010,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,BBB-,A-3,30/06/2010,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,BBB-,A-3,31/07/2010,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,BBB-,A-3,31/08/2010,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,BBB-,A-3,30/09/2010,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,BBB-,A-3,31/10/2010,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,BBB-,A-3,30/11/2010,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,BBB-,A-3,31/12/2010,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,BBB-,A-3,31/01/2011,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,BBB-,A-3,28/02/2011,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,BBB-,A-3,31/03/2011,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,BBB-,A-3,30/04/2011,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,BBB-,A-3,31/05/2011,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,BBB,A-2,30/06/2011,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,BBB,A-2,31/07/2011,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,BBB,A-2,31/08/2011,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,BBB,A-2,30/09/2011,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
